,bmi,primary_eating,secondary_eating,exercise,fast_food,food_amount,stores,maj_ind,cat_occ,income_lvl,income_weekly
1593,21.6,110.0,0.0,1.0,2.0,3.0,1.0,9,1,1,400.0
1594,29.299999,60.0,0.0,1.0,1.0,3.0,1.0,9,1,1,832.5
1603,27.0,120.0,0.0,2.0,2.0,3.0,1.0,9,1,1,940.536575074
1609,22.9,50.0,15.0,2.0,1.0,3.0,1.0,5,3,0,190.0
1610,31.5,30.0,15.0,2.0,2.0,3.0,1.0,8,1,1,1153.84
1614,24.200001,30.0,4.0,1.0,1.0,3.0,2.0,12,6,0,940.536575074
1620,27.1,85.0,0.0,1.0,1.0,3.0,1.0,10,1,1,1961.53
1623,22.299999,0.0,65.0,2.0,1.0,3.0,1.0,7,1,1,2360.0
1637,30.4,0.0,30.0,2.0,2.0,3.0,1.0,10,2,1,1060.0
1658,16.4,135.0,0.0,2.0,2.0,3.0,1.0,11,2,0,300.0
1662,32.099998,30.0,40.0,2.0,1.0,3.0,2.0,13,1,1,1250.0
1669,28.1,70.0,0.0,1.0,1.0,2.0,1.0,5,3,0,470.0
1672,24.0,140.0,10.0,2.0,1.0,3.0,1.0,11,3,1,865.38
1680,27.299999,15.0,0.0,1.0,1.0,3.0,1.0,13,3,1,520.0
1690,26.6,15.0,15.0,1.0,1.0,3.0,1.0,10,1,1,1250.0
1692,18.6,65.0,10.0,2.0,2.0,3.0,2.0,10,6,1,440.0
1697,27.1,0.0,45.0,2.0,1.0,3.0,2.0,4,1,1,1428.57
1700,20.9,32.0,0.0,2.0,1.0,3.0,1.0,5,3,0,390.0
1701,19.4,40.0,61.0,1.0,2.0,3.0,5.0,9,2,1,940.536575074
1704,25.1,50.0,2.0,2.0,1.0,3.0,1.0,4,1,1,1576.0
1706,33.0,55.0,5.0,2.0,1.0,3.0,1.0,3,1,1,1292.3
1709,27.5902193611,13.0,0.0,2.0,2.0,3.0,1.0,9,1,1,1307.69
1720,32.5,30.0,0.0,1.0,1.0,3.0,1.0,3,5,1,2200.0
1731,20.4,40.0,0.0,2.0,2.0,3.0,2.0,12,2,0,80.0
1751,30.4,10.0,0.0,1.0,1.0,3.0,2.0,9,2,0,320.0
1752,26.4,75.0,20.0,2.0,1.0,3.0,1.0,10,1,1,2365.38
1783,27.5902193611,105.0,0.0,2.0,1.0,3.0,1.0,5,3,0,480.0
1786,20.799999,48.0,15.0,2.0,1.0,3.0,1.0,5,3,0,163.46
1787,29.5,15.0,30.0,1.0,1.0,3.0,1.0,11,2,0,520.0
1789,24.4,60.0,15.0,2.0,2.0,3.0,2.0,5,3,1,240.0
1806,30.700001,50.0,0.0,2.0,2.0,3.0,1.0,2,1,1,596.0
1810,31.1,0.0,30.0,2.0,1.0,3.0,1.0,10,1,1,795.0
1829,22.5,87.0,5.0,2.0,1.0,2.0,1.0,10,1,1,923.07
1865,22.9,60.0,0.0,1.0,2.0,3.0,1.0,10,1,1,2096.15
1877,19.799999,220.0,0.0,2.0,1.0,3.0,1.0,11,2,1,1250.0
1882,42.900002,12.0,0.0,2.0,1.0,3.0,1.0,9,1,1,650.0
1893,28.4,30.0,30.0,2.0,1.0,3.0,1.0,6,6,1,326.92
1896,32.900002,0.0,0.0,2.0,1.0,3.0,2.0,11,2,1,670.0
1903,30.299999,30.0,3.0,2.0,1.0,3.0,5.0,4,1,1,1000.0
1908,33.299999,20.0,20.0,2.0,1.0,3.0,1.0,4,3,1,759.0
1910,36.900002,45.0,5.0,2.0,2.0,3.0,1.0,8,6,1,961.53
1923,19.299999,130.0,0.0,1.0,2.0,3.0,1.0,6,3,0,940.536575074
1936,39.799999,30.0,22.0,1.0,2.0,3.0,1.0,10,5,1,1666.66
1937,26.6,15.0,30.0,2.0,2.0,3.0,1.0,9,3,1,673.07
1942,19.6,30.0,0.0,2.0,2.0,3.0,1.0,9,1,1,165.55
1948,28.799999,100.0,0.0,2.0,1.0,3.0,2.0,9,3,1,1923.0
1955,24.4,30.0,30.0,1.0,2.0,3.0,1.0,10,1,1,940.536575074
1967,34.400002,98.0,6.0,2.0,2.0,3.0,5.0,12,1,1,821.0
1981,21.700001,40.0,15.0,2.0,1.0,3.0,1.0,9,1,1,2884.61
1993,35.400002,20.0,15.0,2.0,1.0,3.0,1.0,7,1,1,261.0
1995,30.6,50.0,0.0,2.0,1.0,3.0,1.0,13,1,1,949.6
2004,22.200001,55.0,70.0,2.0,1.0,3.0,1.0,10,1,1,1442.3
2006,23.799999,105.0,10.0,1.0,1.0,2.0,1.0,5,6,0,400.0
2007,22.5,180.0,7.0,2.0,1.0,3.0,1.0,1,1,1,1900.0
2025,28.4,50.0,10.0,2.0,1.0,3.0,1.0,6,2,1,1100.0
2035,30.9,70.0,1.0,1.0,1.0,3.0,1.0,10,1,0,1028.17
2043,19.700001,45.0,10.0,2.0,2.0,3.0,1.0,10,1,1,760.0
2046,47.400002,85.0,10.0,2.0,1.0,3.0,1.0,10,1,1,923.07
2048,50.099998,120.0,15.0,1.0,2.0,3.0,2.0,10,1,1,961.53
2057,23.0,30.0,0.0,2.0,1.0,3.0,1.0,10,1,1,750.0
